Jag hade en båt.	I had a boat.
Det regnade nyligen.	It rained recently.
Barnen lekte på gatan.	The children played in the street.
Vi arbetade tillsammans.	We worked together.
Vi lagade mat tillsammans.	We cooked together.
Jag lyssnade på en föreläsning.	I listened to a lecture.
Alla tackade oss.	Everybody thanked us.
Vad gjorde ni i går?	What did you do yesterday?
Vi hittade hotellet.	We found the hotel.
Jag lade boken på bordet.	I put the book on the table.
Berättade du det för henne?	Did you tell her that?
Jag ställde boken i hyllan.	I put the book on the shelf.
Jag pratade med läkarna i förrgår.	I spoke to the doctors the day before	yesterday.
Kvinnan sa att hon kom dit i förrgår.	The woman said that she got there the day	before yesterday.
I förrgår såg barnet kungen på stan.	The day before yesterday, the child saw	the king downtown.
Han förlorade.	He lost.
Tog du nyckeln?	Did you take the key?
Stängde du dörren?	Did you close the door?
Jag tänkte inte på det.	I did not think about it.
Hon tänkte på sin nya idé.	She thought about her new idea.
Jag trodde att du var hemma.	I thought that you were at home.
Han tog ett tidigt tåg.	He took an early train.
Killen lagade mat till sin nya	flickvän.	The guy cooked for his new girlfriend.
Han säger inte ett ord.	He does not say a word.
Jag läser på högskolan.	I am studying at the college.
Vad betyder "en ansökning"?	What does "an application" mean?
Kocken skär köttet.	The cook is cutting the meat.
Mina föräldrar håller med dig.	My parents agree with you.
Hon lägger till fler siffror.	She is adding more numbers.
Hon minns sin farmors hus.	She remembers her grandmother's house.
Hon skyndar sig till jobbet.	She is hurrying to work.
De gifter sig med varandra.	They are marrying each other.
Jag bryr mig om dig.	I care about you.
Min dotter överraskar mig varje dag.	My daughter surprises me every day.
Mobilen dog.	The cell phone died.
De sålde huset.	They sold the house.
Vi sprang i parken.	We ran in the park.
Jag fick en ny dator.	I got a new computer.
Hon svängde runt hörnet.	She turned around the corner.
Min pojkvän stöttade mig.	My boyfriend supported me.
Jag är ledsen att jag inte stöttade	dig.	I am sorry that I did not support you.
Han höll med.	He agreed.
Jag visste det!	I knew it!
Hur tror du hon visste var du var?	How do you think she knew where you	were?
Kom de tillbaka?	Did they come back?
De kände varandra.	They knew each other.
Vi letade efter dig.	We looked for you.
Jag såg att du tittade på honom.	I saw that you looked at him.
Han behöll hennes brev.	He kept her letters.
Vem vann?	who won?
Vad köpte du?	What did you buy?
När hände det?	When did it happen?
Vad hände egentligen?	What actually happened?
Vad innehöll boken?	What did the book contain?
Vi betalade och gick.	We paid and went.
Han delar aldrig med sig av sin mat.	He never shares his food.
Vem frågade du?	Who did you ask?
Hon frågade vad jag gjorde.	She asked what I was doing.
Du verkade trött.	You seemed tired.
Det fanns inget öl.	There was no beer.
Det fanns en läkare på båten.	There was a doctor on the boat.
Hon dök upp mitt i natten.	She appeared in the middle of the night.
Han dök inte upp på festen.	He did not appear at the party.
Mannen förklarade vem han var.	The man explained who he was.
Sov du?	Did you sleep?
Vi stannade hemma.	We stayed at home.
Jag litade på dig!	I trusted you!
När kom du i morse?	When did you come this morning?
Efter resan vilade vi.	After the trip we rested.
Hon bodde på hotellet.	She stayed at the hotel.
Varför väntade du inte på mig?	Why didn't you wait for me?
Vi vilade i några timmar.	We rested for a few hours.
Vi fick soppa till lunch.	We got soup for lunch.
Han presenterade mig för sina	föräldrar.	He introduced me to his parents.
De bodde i ett stort gammalt hus.	They lived in a big old house.
Jag drack kaffe i morse.	I drank coffee this morning.
De stannade bara några dagar.	They only stayed a few days.
Han kände sig ledsen.	He felt sad.
Väskan innehöll alla mina saker.	The bag contained all my things.
Domaren höll med advokaten.	The judge agreed with the lawyer.
Vad hände med honom?	What happened to him?
Datorn dog inte.	The computer did not die.
Övningar i tyska	Exercises in German
Vi bokar vårt rum så snart som	möjligt.	We are booking our room as soon as	possible.
Hon berättade ingenting för mig.	She told me nothing.
Det gick inte.	It did not work.
De såg på varandra.	They looked at each other.
Hon ställde flaskan på bordet.	She put the bottle on the table.
Vi tog tunnelbanan.	We took the subway.
Hon trodde att vi var bröder.	She thought that we were brothers.
Var det du som skrev rapporten?	Was it you who wrote the report?
Hon skrev fyra böcker på fem år.	She wrote four books in five years.
Hans studie är inte så intressant.	His study is not so interesting.
Du behöver inte tycka om det.	You do not need to like it.
Han orkar inte springa i kväll.	He does not have the energy to run tonight.
Det är svårt att tycka om professorn.	It is difficult to like the professor.
Tolken försöker inte ens tala tydligt.	The interpreter is not even trying to speak	clearly.
Hon vill bli advokat.	She wants to become a lawyer.
Jag vill vara som du.	I want to be like you.
Hon verkar inte se oss.	She does not seem to see us.
Jag försöker se adressen.	I am trying to see the address.
Det är svårt att se vem det är.	It is difficult to see who it is.
Hon tycker om att skriva.	She likes to write.
Brukar du skriva brev?	Do you usually write letters?
Hon vill gå på bio.	She wants to go to the movie theater.
Vi försöker sova!	We are trying to sleep!
Jag brukar betala.	I usually pay.
Barnen vill alltid leka.	The children always want to play.
Jag har inte tid att leka med dig.	I do not have time to play with you.
Han tycker om att laga mat.	He likes to cook.
Jag vill faktiskt inte laga mat i dag.	I actually do not want to cook today.
Han verkar tycka om datorer.	He seems to like computers.
Det är nödvändigt att springa.	It is necessary to run.
Hon brukar vilja simma på	morgonen.	She usually wants to swim in the morning.
Han brukar vilja sova åtta timmar.	He usually wants to sleep eight hours.
Vi vill åka nu!	We want to go now!
Jag tycker om att åka till Sverige.	I like to go to Sweden.
Vad vill du göra?	What do you want to do?
Vad brukar ni göra på kvällarna?	What do you usually do in the evenings?
Barnen älskar att rita.	The children love to draw.
Hon vill alltid bestämma.	She always wants to decide.
Jag försöker bestämma mig.	I am trying to decide.
Jag ber honom tala långsamt.	I am asking him to speak slowly.
Han brukar använda min dator.	He usually uses my computer.
Det är bra att använda tandkräm.	It is good to use toothpaste.
Det börjar regna.	It is starting to rain.
Det brukar regna på hösten.	It usually rains in the fall.
Det är svårt att säga.	It is difficult to say.
Vi vill inte höra dig.	We do not want to hear you.
Hon vill hyra ett hus.	She wants to rent a house.
Ni behöver hyra fler båtar.	You need to rent more boats.
Vi behöver stänga dörren.	We need to close the door.
Jag försöker stänga fönstret.	I am trying to close the window.
Jag tycker om att äta hemma.	I like to eat at home.
Han vill också lyssna på radio.	He also wants to listen to the radio.
Hon vill absolut gå.	She absolutely wants to go.
Hon köper tyg för att göra en gardin.	She is buying cloth in order to make a	curtain.
Vi försöker tala svenska hela tiden.	We try to speak Swedish all the time.
Finns det en högskola i staden?	Is there a college in the city?
Hon brukar gå på bio.	She usually goes to the movie theater.
Skåpet innehöll böcker och	tidningar.	The cabinet contained books and	newspapers.
Vi träffas på museet.	We are meeting at the museum.
Han köper en annan kostym.	He is buying another suit.
De brukar stänga vid fem.	They usually close at five.
Läraren pratar med eleven.	The teacher is talking with the student.
Katten verkar vilja leka med snöret.	The cat seems to want to play with the	string.
Min pojkvän tycker om att springa.	My boyfriend likes to run.
Vi kom nyligen hem.	We recently came home.
Han behöver mer övning.	He needs more practice.
Jag vill göra något för honom.	I want to do something for him.
Jag visste att du var i parken.	I knew you were in the park.
Modellen dök inte upp förrän efter	lunch.	The model did not appear until after lunch.
Hunden åt upp mina läxor.	The dog ate my homework.
Vad är målet med studien?	What is the goal of the study?
Det tog fem timmar.	It took five hours.
Den svarta hästen vann.	The black horse won.Jag hade en båt.	I had a boat.
Det regnade nyligen.	It rained recently.
Barnen lekte på gatan.	The children played in the street.
Vi arbetade tillsammans.	We worked together.
Vi lagade mat tillsammans.	We cooked together.
Jag lyssnade på en föreläsning.	I listened to a lecture.
Alla tackade oss.	Everybody thanked us.
Vad gjorde ni i går?	What did you do yesterday?
Vi hittade hotellet.	We found the hotel.
Jag lade boken på bordet.	I put the book on the table.
Berättade du det för henne?	Did you tell her that?
Jag ställde boken i hyllan.	I put the book on the shelf.
Jag pratade med läkarna i förrgår.	I spoke to the doctors the day before	yesterday.
Kvinnan sa att hon kom dit i förrgår.	The woman said that she got there the day	before yesterday.
I förrgår såg barnet kungen på stan.	The day before yesterday, the child saw	the king downtown.
Han förlorade.	He lost.
Tog du nyckeln?	Did you take the key?
Stängde du dörren?	Did you close the door?
Jag tänkte inte på det.	I did not think about it.
Hon tänkte på sin nya idé.	She thought about her new idea.
Jag trodde att du var hemma.	I thought that you were at home.
Han tog ett tidigt tåg.	He took an early train.
Killen lagade mat till sin nya	flickvän.	The guy cooked for his new girlfriend.
Han säger inte ett ord.	He does not say a word.
Jag läser på högskolan.	I am studying at the college.
Vad betyder "en ansökning"?	What does "an application" mean?
Kocken skär köttet.	The cook is cutting the meat.
Mina föräldrar håller med dig.	My parents agree with you.
Hon lägger till fler siffror.	She is adding more numbers.
Hon minns sin farmors hus.	She remembers her grandmother's house.
Hon skyndar sig till jobbet.	She is hurrying to work.
De gifter sig med varandra.	They are marrying each other.
Jag bryr mig om dig.	I care about you.
Min dotter överraskar mig varje dag.	My daughter surprises me every day.
Mobilen dog.	The cell phone died.
De sålde huset.	They sold the house.
Vi sprang i parken.	We ran in the park.
Jag fick en ny dator.	I got a new computer.
Hon svängde runt hörnet.	She turned around the corner.
Min pojkvän stöttade mig.	My boyfriend supported me.
Jag är ledsen att jag inte stöttade	dig.	I am sorry that I did not support you.
Han höll med.	He agreed.
Jag visste det!	I knew it!
Hur tror du hon visste var du var?	How do you think she knew where you	were?
Kom de tillbaka?	Did they come back?
De kände varandra.	They knew each other.
Vi letade efter dig.	We looked for you.
Jag såg att du tittade på honom.	I saw that you looked at him.
Han behöll hennes brev.	He kept her letters.
Vem vann?	who won?
Vad köpte du?	What did you buy?
När hände det?	When did it happen?
Vad hände egentligen?	What actually happened?
Vad innehöll boken?	What did the book contain?
Vi betalade och gick.	We paid and went.
Han delar aldrig med sig av sin mat.	He never shares his food.
Vem frågade du?	Who did you ask?
Hon frågade vad jag gjorde.	She asked what I was doing.
Du verkade trött.	You seemed tired.
Det fanns inget öl.	There was no beer.
Det fanns en läkare på båten.	There was a doctor on the boat.
Hon dök upp mitt i natten.	She appeared in the middle of the night.
Han dök inte upp på festen.	He did not appear at the party.
Mannen förklarade vem han var.	The man explained who he was.
Sov du?	Did you sleep?
Vi stannade hemma.	We stayed at home.
Jag litade på dig!	I trusted you!
När kom du i morse?	When did you come this morning?
Efter resan vilade vi.	After the trip we rested.
Hon bodde på hotellet.	She stayed at the hotel.
Varför väntade du inte på mig?	Why didn't you wait for me?
Vi vilade i några timmar.	We rested for a few hours.
Vi fick soppa till lunch.	We got soup for lunch.
Han presenterade mig för sina	föräldrar.	He introduced me to his parents.
De bodde i ett stort gammalt hus.	They lived in a big old house.
Jag drack kaffe i morse.	I drank coffee this morning.
De stannade bara några dagar.	They only stayed a few days.
Han kände sig ledsen.	He felt sad.
Väskan innehöll alla mina saker.	The bag contained all my things.
Domaren höll med advokaten.	The judge agreed with the lawyer.
Vad hände med honom?	What happened to him?
Datorn dog inte.	The computer did not die.
Övningar i tyska	Exercises in German
Vi bokar vårt rum så snart som	möjligt.	We are booking our room as soon as	possible.
Hon berättade ingenting för mig.	She told me nothing.
Det gick inte.	It did not work.
De såg på varandra.	They looked at each other.
Hon ställde flaskan på bordet.	She put the bottle on the table.
Vi tog tunnelbanan.	We took the subway.
Hon trodde att vi var bröder.	She thought that we were brothers.
Var det du som skrev rapporten?	Was it you who wrote the report?
Hon skrev fyra böcker på fem år.	She wrote four books in five years.
Hans studie är inte så intressant.	His study is not so interesting.
Du behöver inte tycka om det.	You do not need to like it.
Han orkar inte springa i kväll.	He does not have the energy to run tonight.
Det är svårt att tycka om professorn.	It is difficult to like the professor.
Tolken försöker inte ens tala tydligt.	The interpreter is not even trying to speak	clearly.
Hon vill bli advokat.	She wants to become a lawyer.
Jag vill vara som du.	I want to be like you.
Hon verkar inte se oss.	She does not seem to see us.
Jag försöker se adressen.	I am trying to see the address.
Det är svårt att se vem det är.	It is difficult to see who it is.
Hon tycker om att skriva.	She likes to write.
Brukar du skriva brev?	Do you usually write letters?
Hon vill gå på bio.	She wants to go to the movie theater.
Vi försöker sova!	We are trying to sleep!
Jag brukar betala.	I usually pay.
Barnen vill alltid leka.	The children always want to play.
Jag har inte tid att leka med dig.	I do not have time to play with you.
Han tycker om att laga mat.	He likes to cook.
Jag vill faktiskt inte laga mat i dag.	I actually do not want to cook today.
Han verkar tycka om datorer.	He seems to like computers.
Det är nödvändigt att springa.	It is necessary to run.
Hon brukar vilja simma på	morgonen.	She usually wants to swim in the morning.
Han brukar vilja sova åtta timmar.	He usually wants to sleep eight hours.
